Comment,Designator,Footprint,LCSC
Seeed Studio XIAO SAMD21,U1,XIAO-SAMD21-RP2040-14P-2.54-21X17.8MM (Seeeduino XIAO),
SW_Push,SW6,MX-Solderable-1U,
SW_Push,SW5,MX-Solderable-1U,
SW_Push,SW4,MX-Solderable-1U,
SW_Push,SW3,MX-Solderable-1U,
SW_Push,SW2,MX-Solderable-1U,
SW_Push,SW1,MX-Solderable-1U,
RotaryEncoder,RE2,RotaryEncoder_Alps_EC12E_Vertical_H20mm,
RotaryEncoder,RE1,RotaryEncoder_Alps_EC12E_Vertical_H20mm,
SK6812MINI-E,LED6,SK6812-MINI-E,
SK6812MINI-E,LED5,SK6812-MINI-E,
SK6812MINI-E,LED4,SK6812-MINI-E,
SK6812MINI-E,LED3,SK6812-MINI-E,
SK6812MINI-E,LED2,SK6812-MINI-E,
SK6812MINI-E,LED1,SK6812-MINI-E,
GS1010FL,D7,D_SOD-123F,
1N4148W,D6,D_SOD-123,
1N4148W,D5,D_SOD-123,
1N4148W,D4,D_SOD-123,
1N4148W,D3,D_SOD-123,
1N4148W,D2,D_SOD-123,
1N4148W,D1,D_SOD-123,
